"Edit","Context Information","Alt+?","In Windows"
"Task Editor","Maximize Part","Ctrl+Shift+M","In Tasks Editor"
"Source","Remove Block Comment","Ctrl+Shift+\","Editing Java Source"
"Navigate","Quick Hierarchy","Ctrl+T","Editing Java Source"
"Text Editing","To Upper Case","Ctrl+Shift+X","Editing Text"
"File","Properties","Alt+Enter","In Windows"
"Navigate","Quick Outline","Ctrl+O","Editing in Structured Text Editors"
"Source","Show Source Quick Menu","Alt+Shift+S","In Windows"
"Views","Show View (History)","Alt+Shift+Q, Z","In Windows"
"Text Editing","Select Line Start","Shift+Home","Editing Text"
"Refactor - Java","Extract Method","Alt+Shift+M","In Windows"
"Text Editing","Text Start","Ctrl+X, [","Editing Text"
"Edit","Word Completion","Alt+/","Editing Text"
"Views","Show View (Package Explorer)","Alt+Shift+Q, P","In Windows"
"Run/Debug","Step Into","F5","Debugging"
"File","Print","Ctrl+P","In Windows"
"Git","Commit...","Ctrl+#","In Windows"
"Views","Show View (Search)","Alt+Shift+Q, S","In Windows"
"Chain Completion Category","Trigger Chain Completion Command","Ctrl+Shift+Space","Editing Java Source"
"Edit","Incremental Find Reverse","Ctrl+Shift+J","Editing Text"
"Text Editing","Delete Line","Ctrl+D","Editing Text"
"WindowBuilder Pro","Switch Source/Design Views","F12","Editing Text"
"Text Editing","Delete Previous Word","Esc, Backspace","Editing Text"
"File","Print","Esc, F9","In Windows"
"Source","Apply Checkstyle fixes","Ctrl+Alt+C","Editing Java Source"
"Views","Show View (Console)","Alt+Shift+Q, C","In Windows"
"Focused UI","Show Context Quick View","Ctrl+Alt+Shift+Right","In Windows"
"Edit","Select Next Element","Alt+Shift+Right","Editing in Structured Text Editors"
"Search","Find Text in Workspace","Ctrl+Alt+G","In Windows"
"Task Repositories","Mark Task Complete","Alt+Shift+C","In Tasks Editor"
"Text Editing","Reset Structure","Ctrl+Shift+Numpad_Multiply","Editing Text"
"Edit","Copy","Ctrl+Insert","In Dialogs and Windows"
"Edit","Find and Replace","Alt+R","In Windows"
"Navigate","Quick Outline","Ctrl+O","Editing Java Source"
"Window","Show Key Assist","Ctrl+Shift+L","In Dialogs and Windows"
"Edit","Toggle Insert Mode","Ctrl+Shift+Insert","Editing Text"
"Views","Show View (Problems)","Alt+Shift+Q, X","In Windows"
"Navigate","Next Page","Alt+F7","In Windows"
"File","Print","Alt+F9","In Windows"
"Text Editing","Page Up","Esc, V","Editing Text"
"Navigate","Go to Line","Ctrl+X, G","Editing Text"
"Run/Debug","Previous Page of Memory","Ctrl+Shift+,","In Table Memory Rendering"
